"id","collection","titre","publication","genre","age","nombre_pages","nombre_copies","titre_serie","nombre_serie","langue","resume","notes","auters","sujets","nombre_retrir"
144,"NEP","Pages africaines 2",1963,"Fiction","Adulte",79,3,"Pages Africaines",,"Français",,,"Vézinet,P;Désamais,R ","afrique;contes;poésie;nouvelles;français;vocabulaire;compréhension;littérature;villages;commerces;marchés;travail;habitations;accidents;mort;anciens",0
145,"NEP","Pages africaines 3",1963,"Fiction","Adulte",71,3,"Pages Africaines",,"Français",,,"Vézinet,P;Désamais,R ","afrique;contes;poésie;nouvelles;français;vocabulaire;compréhension;littérature;danse;fêtes;croyances;coutumes;traditions;actualités",0
72,"NEP","Passeport (7-8ans)",,"Ressources pour les Ensignants","Maitres",61,1,"Passeport",,"Français",,,"Bessières,Catherine;Knowles,Xavier","cahier vacances;exercises toutes matières",0
120,"NEP","Passeport (7-8ans)",,"Ressources pour les Ensignants","Maitres",61,1,"Passeport",,"Français",,,"Knowles,Xavier;Bessières ,Catherine","cahier vacances;exercises toutes matières",0
73,"NEP","Passeport (8-9ans)",,"Ressources pour les Ensignants","Maitres",56,1,"Passeport",,"Français",,,"Bacon,Michèle;Hérété,Jean-Étienne","cahier vacances;exercises toutes matières",0
121,"NEP","Passeport (8-9ans)",,"Ressources pour les Ensignants","Maitres",56,1,"Passeport",,"Français",,,"Bacon,Michèle;Hérété ,Jean-Étienne","cahier vacances;exercises toutes matières",0
43,"NEP","Petit stuart",1945,"Fiction","Jeunesse",133,1,,,"Français",,,"White,E.B.","aventure;souris",0
130,"NEP","Physique 9ème année",2008,"Livre scolaire","Jeunesse",141,10,,,"Français",,,"Tolofoudye,Adama","physique ",0
139,"NEP","Portland oregon: city of roses",,"Documentaire","Adulte",32,1,,,"Français",,,,"portland;oregon;étas unis;images",0
13,"NEP","Prisonniers de la pyramide",2004,"fiction","Jeunesse",94,1,"Les enfants du nil",,"Français",,,"Surget,Alain;Parme,Fabrice","égypte;aventure",0
84,"NEP","Protéger les animaux",2007,"Documentaire","Jeunesse",59,1,"ImagesDoc",,"Français",,,,"sciences;animaux;histoire;géographie;sport;snowboard;migration;allemagne;hannibal;carthage;environment;biocarburant;wwf;nature",0
80,"NEP","Pôle nord, pôle sud: un numéro pour tout comprendre",2007,"Documentaire","Jeunesse",57,1,"ImagesDoc",,"Français",,,,"sciences;animaux;histoire;géographie;manchots;arctique;anarctique;alaska;changement climatique;nature",0
58,"NEP","Quartiers d'orange",2005,"Fiction","Jeunesse",,1,,,"Français",,,"Legendre,Françoise;Fortier,Natali","famille;espagne;le déces",0
46,"NEP","Racing show",1985,"Fiction","Jeunesse",47,1,"Michel Vaillant",,"Français",,,"Graton,Jean","aventure;bande dessinée;voitures",0
69,"NEP","Ratus découvre les livres",1996,"Fiction","Jeunesse",192,1,,,"Français",,,"Guion,Jean","contes;apprendre à lire",0
49,"NEP","Route de nuit",1994,"Fiction","Jeunesse",64,1,"Michel Vaillant",,"Français",,,"Graton,Jean","aventure;bande dessinée;voitures",0
5,"NEP","Réglisse",2005,"fiction","Jeunesse",69,1,"Mission: Adoption",,"Français",,,"Miles,Ellen","chiens;animaux",0
6,"NEP","Sauvons les bébés lièvres",2004,"fiction","Jeunesse",76,1,,,"Français",,,"Hughes,Susan","animaux;lapins",0
129,"NEP","Sciences physiques 8ème année",2000,"Livre scolaire","Jeunesse",160,10,,,"Français",,,,"physique;chimie",0
7,"NEP","Segou: la terre en miettes",1985,"fiction","Adulte",415,1,,,"Français",,,"Condé,Maryse","segou;mali",0
136,"NEP","Sous l'orage (suivi de la mort de chaka)",1972,"Fiction","Adulte",253,11,,,"Français",,,"Badian,Seydou","littérature;afrique;chaka;théâtre",0
83,"NEP","Spécial: mer",2007,"Documentaire","Jeunesse",59,1,"ImagesDoc",,"Français",,,,"sciences;animaux;histoire;géographie;sport;surf;pieuvre;pirates;île de la réunion;nature",0
48,"NEP","Stripcockeer",1984,"Fiction","Jeunesse",46,1,"Boule et Bill",,"Français",,,"Roba,","bande dessinée;humeur",0
87,"NEP","Sur la piste de l'ours",2007,"Documentaire","Jeunesse",59,1,"ImagesDoc",,"Français",,,,"sciences;animaux;histoire;géographie;sport;politique;ours;égypte;tennis;italie;commerce équitable;pyramide;nature",0
2,"NEP","Tamit, l'enfant du nil",2004,"fiction","Jeunesse",63,1,,,"Français",,,"Flores,Hervé","égypte",0
41,"NEP","Un coquelicot pour se souvenir",2004,"Documentaire","Jeunesse",30,1,,,"Français",,,"Patterson,Heather;Lightburn,Ron","histoire;canada;premièrre guerre mondiale;histoire militaire",0
47,"NEP","Un ours, un singe...et un side-car",1979,"Fiction","Jeunesse",46,1,"Julie Wood",,"Français",,,"Graton,Jean","bande dessinée;motocyclette;voiture",0
67,"NEP","Vive les vacances!",,"Documentaire/Fiction","Jeunesse",35,1,"Tobogan",,"Français",,,,"contes;jeux;activités",0
12,"NEP","Zorro: le complot des émeraudes",1998,"fiction","Jeunesse",59,,"Zorro",,"Français",,,"Flammarion,","aventure;amérique du sud",0
85,"NEP","Étonnantes fourmis",2007,"Documentaire","Jeunesse",59,1,"ImagesDoc",,"Français",,,,"sciences;animaux;histoire;géographie;sport;fourmis;photographie;nouvelle-zélande;hélicoptère;escalade;nature",0
